Playing City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Atlanta,24351,6.08961038961039,0.21368181818181817,0.44026315789473686,1216.5454545454545
Boston,23948,7.264179104477611,0.20091228070175438,0.4373787878787879,1598.955223880597
Brooklyn,5187,9.407692307692308,0.26791666666666664,0.4404615384615384,1818.6153846153845
Charlotte,11907,6.591666666666666,0.2702058823529412,0.4378285714285714,1368.6944444444443
Chicago,20019,6.741509433962266,0.24373999999999998,0.42379245283018874,1504.4716981132076
Cleveland,30378,7.26578947368421,0.20771212121212124,0.4458552631578947,1745.9605263157894
Dallas,18176,6.211475409836064,0.22914814814814816,0.4174918032786885,1177.622950819672
Denver,19979,5.845588235294118,0.233983606557377,0.4323529411764705,1054.485294117647
Detroit,22282,6.392753623188407,0.1990357142857143,0.42537681159420293,1455.2028985507247
Golden State,22636,6.492000000000002,0.200828125,0.4401199999999999,1286.56
Houston,25448,8.912962962962961,0.2591276595744681,0.4498518518518519,2252.740740740741
Indiana,20515,6.5390625,0.2126153846153846,0.4497187499999998,1329.8125
Los Angeles,54949,7.823741007194244,0.24560483870967745,0.432217391304348,1848.6187050359713
Memphis,7424,6.125925925925925,0.21419230769230774,0.43744444444444447,1052.2962962962963
Miami,22080,8.928888888888888,0.28130769230769237,0.4369333333333334,2337.4
Milwaukee,25886,6.967647058823528,0.22168965517241376,0.45148529411764715,1700.3382352941176
Minnesota,16320,7.152083333333336,0.23179999999999998,0.45087499999999997,1493.0416666666667
New Jersey,23795,6.755555555555553,0.22089473684210525,0.4353650793650793,1369.5396825396826
New Orleans,6824,6.725,0.24155999999999994,0.39864285714285713,1077.107142857143
New York,25102,6.873913043478263,0.22998412698412696,0.433608695652174,1956.3188405797102
Oklahoma City,6394,5.1000000000000005,0.2758999999999999,0.45418181818181824,2025.2727272727273
Orlando,15630,6.226315789473684,0.26265714285714287,0.4289473684210526,1452.3157894736842
Philadelphia,28626,7.748101265822783,0.21993055555555563,0.4350506329113924,1743.4303797468353
Phoenix,23537,6.790769230769231,0.2080338983050847,0.438546875,1364.7846153846153
Portland,16850,5.804081632653061,0.20751351351351355,0.4579183673469388,1681.9183673469388
Sacramento,16791,5.821311475409836,0.22219230769230774,0.41293442622950827,1191.0
San Antonio,31748,6.889999999999999,0.2326612903225806,0.44650000000000034,2023.35
Seattle,19046,6.607843137254903,0.21704651162790703,0.4188235294117648,1780.7450980392157
Toronto,7593,6.144,0.2424545454545455,0.44671999999999995,1089.24
Utah,18700,6.442592592592592,0.20082978723404254,0.4293148148148147,1543.7037037037037
Vancouver,4157,7.091666666666668,0.3069166666666667,0.4224166666666666,1040.4166666666667
Washington,23824,7.27027027027027,0.2327910447761194,0.43141891891891887,1549.027027027027
